주차,시작일,종료일,주제,날짜,훈련,종류,계획km,실제km,상태
1,2026-08-03,2026-08-09,주3 달리기 워밍업,2026-08-04,출근 전 이지런,이지런,5,5,완료
1,2026-08-03,2026-08-09,주3 달리기 워밍업,2026-08-06,언덕훈련 4회,언덕,,,완료
1,2026-08-03,2026-08-09,주3 달리기 워밍업,2026-08-08,이지런 (가볍게),이지런,5,5,완료
2,2026-08-10,2026-08-16,휴식 & 회복,2026-08-12,이지런,이지런,5.5,5.5,완료
2,2026-08-10,2026-08-16,휴식 & 회복,2026-08-15,롱런,롱런,14,13,완료
3,2026-08-17,2026-08-23,컨디션 상,2026-08-17,이지런 → 템포런,템포런,6,5,완료
3,2026-08-17,2026-08-23,컨디션 상,2026-08-19,롤링힐 인터벌,롤링힐,8,,미진행
3,2026-08-17,2026-08-23,컨디션 상,2026-08-22,롱런,롱런,16,8,완료
4,2026-08-24,2026-08-30,,2026-08-25,이지런,이지런,5,5.85,완료
4,2026-08-24,2026-08-30,,2026-08-27,템포런 (6′55″),템포런,5,,미진행
4,2026-08-24,2026-08-30,,2026-08-29,롱런,롱런,10,11.35,완료
5,2026-08-31,2026-09-06,휴식 & 회복,2026-09-01,이지런 (컨디션 봐서),이지런,5,,
6,2026-09-07,2026-09-13,컨디션 상,2026-09-08,이지런,이지런,6,,
6,2026-09-07,2026-09-13,컨디션 상,2026-09-10,목표페이스 3km × 3,목표페이스,9,,
6,2026-09-07,2026-09-13,컨디션 상,2026-09-13,롱런,롱런,15,,
7,2026-09-14,2026-09-20,,2026-09-15,이지런,이지런,6,,
7,2026-09-14,2026-09-20,,2026-09-17,이지런,이지런,6,,
7,2026-09-14,2026-09-20,,2026-09-20,롱런,롱런,17,,
8,2026-09-21,2026-09-27,실전 리허설,2026-09-22,이지런,이지런,5,,
8,2026-09-21,2026-09-27,실전 리허설,2026-09-25,롱런 (실전 훈련),롱런,20.5,,
9,2026-09-28,2026-10-04,회복주,2026-09-29,이지런 (강도 낮게),이지런,3,,
9,2026-09-28,2026-10-04,회복주,2026-10-01,템포런 (6′50″),템포런,5,,
9,2026-09-28,2026-10-04,회복주,2026-10-03,롱런,롱런,12,,
10,2026-10-05,2026-10-11,테이퍼,2026-10-06,이지런,이지런,4,,
10,2026-10-05,2026-10-11,테이퍼,2026-10-08,짧은 페이스런,목표페이스,3,,
10,2026-10-05,2026-10-11,테이퍼,2026-10-10,롱런,롱런,9,,
11,2026-10-12,2026-10-17,대회 주,2026-10-13,이지런,이지런,3,,
11,2026-10-12,2026-10-17,대회 주,2026-10-15,가벼운 조깅,이지런,3,,
11,2026-10-12,2026-10-17,대회 주,2026-10-17,🏁 대청호마라톤 하프,대회,21.0975,,
